ticker,fecha_deteccion,veredicto,razon,retorno_12m,exceso_12m,exceso_24m
DWCH,2015-04-10,NADA_INTERESANTE,"Caída de ingresos del 21% YoY, pérdida operativa del 567% del revenue, caja operativa negativa, y una imputación masiva de $32M en goodwill sugieren que los directivos compran en un momento de crisis operacional estructural, no de convicción sobre recuperación.",-0.3435829097738039,-0.26043715733066763,-0.1511263016012424
ENCR,2015-07-07,NADA_INTERESANTE,"Ingresos colapsaron 87.5% trimestre anterior (de $0.8M a $0.1M), márgenes volátiles e insostenibles (133% → 1% → 24%), caja operativa negativa, y los directivos compran en ventana de 60 días mientras la empresa aún no satisface condiciones vinculantes críticas del acuerdo Dresser-Rand que financia el modelo.",-0.21999998092651363,-0.17962584828555972,-0.8647195162455066
GRC,2015-09-27,NADA_INTERESANTE,"Deterioro consistente de ingresos (-5.3% YoY, -7.6% H1), márgenes en contracción (23.2% vs 24.5%), caja operativa débil, y el MD&A documenta headwinds estructurales (caída petróleo/gas, dólar fuerte, agricultura débil) sin catalizador claro que justifique compras insider en este contexto de declive, solo un proyecto PCCP transitorio que ya está en el backlog.",0.036550270347824654,-0.07373962878087958,-0.011632867009715442
GNSS,2015-10-09,NADA_INTERESANTE,"Caída de ingresos del 56% interanual, márgenes en deterioro progresivo (54%→51%→49%), caja operativa negativa, pérdida neta en T-0, y el MD&A atribuye todo a timing de órdenes sin catalizadores claros; las compras de insiders ($71k) parecen apuestas sin fundamento visible en los datos.",0.029310704595681525,-0.030465272756168504,-0.15708486879971773
DST,2016-03-04,INTERESANTE,"Crecimiento revenue consistente pero desacelerado (2.1% → 2.2% → 3.1%); compras insider significativas ($706k total, concentradas en Insider B) sin visibilidad de catalizadores operativos en MD&A, que enfatiza riesgos regulatorios y competitivos; adquisiciones recientes (Red Rocks, WMS) sugieren apuesta estratégica pero sin métricas de impacto; señal débil pero requiere verificación de márgenes y flujo operativo no disponibles en este extracto.",0.10483082081182249,-0.1711702106055406,0.060808578569294
IPWR,2016-04-25,NADA_INTERESANTE,"Caída de ingresos 44% T-1 a T-0 con margen bruto colapsado a 0%, flujo operativo negativo de $2.6M, y compras directivas desproporcionadas (CEO solo $20.9K vs A con $64.6K) sin catalizador operativo inmediato que justifique confianza en reversión",-0.5167286176820296,-0.7617526236574903,-1.1747906988847074
TSRO,2016-05-17,NADA_INTERESANTE,"Compra masiva de ~$400M por 16 directivos coordinados en empresa de biotech pre-comercial con revenue de $0.2M, margen bruto negativo (-17%), quemando $67.6M en cash operativo trimestral, sin catalizadores clínicos visibles en el MD&A —patrón de coordinación anómala sugiere señalización artificial más que convicción fundamental.",2.4173797842975775,2.181326453542915,-0.4094089431447496
CORI,2016-07-11,NADA_INTERESANTE,"Los fundamentales son débiles y contradictorios: ingresos volátiles con T-1 en mínimos ($7.0M), solo T-0 muestra recuperación puntual (+51% QoQ), márgenes mejoran pero desde base muy baja, pipeline es precario (mayoría preclinical/Phase 1), y el MD&A revela headwinds estructurales (erosión de ingresos en Fentanyl por competencia, cambios de términos contractuales desfavorables, riesgos de desinversión en Clonidine). Las compras insider parecen apuestas especulativas en un punto de volatilidad, no validadas por tendencias operativas sostenibles.",1.3030302519458208,1.1045604183020243,0.5769836611685286
SYNT,2017-01-20,NADA_INTERESANTE,"Caída de ingresos del 4.9% YoY, márgenes brutos comprimidos (40% vs 42% hace 5 trimestres), margen operativo deteriorado (60.8% cost ratio vs 57.6%), sin catalizadores creíbles en el MD&A, y compras de insiders en contexto de debilidad macroeconomica, ciclos de decisión prolongados y headcount reducido en 5.3% sugieren que los directivos compran en mínimos tácticos sin visibilidad de recuperación fundamental.",0.11948792980233569,-0.06819676220050486,
GRWC,2018-07-20,NADA_INTERESANTE,"Compras de insiders sin justificación fundamental: ingresos erráticos ($0.0M-$0.1M), márgenes deteriorándose (91%→76%), flujo operativo negativo, y MD&A explícita sobre 'substantial doubt' de continuidad operativa; las compras parecen actos de fe sin catalizadores operacionales claros.",0.5086207330652153,0.5457427418058027,-0.30774914069377013
DCOM,2018-10-08,NADA_INTERESANTE,"Crecimiento de ingresos plano o decreciente (T-1: $1.3M → T-0: $1.2M) sin aceleración, caja operativa sin tendencia clara, compras de insiders modestas ($150k acumulado en small cap) sin catalizador visible en MD&A que justifique timing; el texto solo discute adopciones contables futuras (ASU 842, 326) sin revelar drivers operacionales positivos.",-0.013534294216229092,-0.008382441206990388,-0.42061366121822996
SCOO,2019-01-26,NADA_INTERESANTE,"Compras directivas en negocio con crecimiento errático (0.6% trimestral), márgenes planos (36-38%), flujo operativo negativo (-$35.1M), y problemas operacionales recientes (staffing, retrasos de envíos) que explican mejor las compras como señal de confianza a corto plazo que como convicción fundamental.",-0.9580419569343359,-1.0357296387983272,-1.4201585807929213
STRR,2019-05-14,NADA_INTERESANTE,"Caída de ingresos trimestral (-6.5%), márgenes comprimidos (19%→18%), flujo operativo negativo (-$2.2M), y estrategia de pivote radical hacia modular building (ATRM) desconectada de core healthcare, generando dudas sobre valoración; compras insider parecen apuestas especulativas sin catalizador fundamental claro.",-0.3659721974789354,-0.24988727354758367,-0.2510847616419414
